Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Engine volume,Mileage_km,Cylinders,Doors,Wheel,Color,Airbags,turbo,Fuel type_CNG,Fuel type_Diesel,Fuel type_Hybrid,Fuel type_Hydrogen,Fuel type_LPG,Fuel type_Petrol,Fuel type_Plug-in Hybrid,Drive wheels_4x4,Drive wheels_Front,Drive wheels_Rear,Gear box type_Automatic,Gear box type_Manual,Gear box type_Tiptronic,Gear box type_Variator
12074,1537,TOYOTA,Highlander,2009,Jeep,1,3.3,420550,6.0,4,Left wheel,Blue,12,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False
15681,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,0,2.0,180000,6.0,4,Left wheel,White,4,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False
19444,915,PORSCHE,Cayenne,2014,Jeep,1,3.0,175056,6.0,4,Left wheel,White,12,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False
6899,632,BMW,X5,2000,Jeep,1,4.4,200000,8.0,4,Left wheel,Silver,6,0,True,False,False,False,False,False,False,True,False,False,True,False,False,False
24462,632,JEEP,Grand Cherokee,2007,Jeep,1,3.0,250000,6.0,4,Left wheel,Black,10,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
23235,707,HYUNDAI,Santa FE,2011,Jeep,1,2.0,162000,4.0,4,Left wheel,Grey,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
51746,1077,TOYOTA,CHR Limited,2019,Jeep,0,2.0,10200,4.0,4,Left wheel,Red,12,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False
7527,1486,HONDA,FIT,2010,Hatchback,0,1.3,158000,4.0,4,Right-hand drive,Black,4,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
19121,531,HYUNDAI,Elantra,2012,Sedan,1,1.6,103490,4.0,4,Left wheel,Silver,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
24462,751,TOYOTA,Camry,2013,Sedan,1,2.4,203200,4.0,4,Left wheel,Blue,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
45734,1091,HYUNDAI,H1,2016,Universal,1,2.5,61057,4.0,4,Left wheel,Black,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
20165,650,VOLKSWAGEN,Jetta,2016,Sedan,1,1.4,11200,4.0,4,Left wheel,Black,8,1,False,False,False,False,False,True,False,False,True,False,False,False,True,False
21326,382,HYUNDAI,Sonata,2014,Sedan,1,2.4,141000,4.0,4,Left wheel,White,12,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False
549,1436,PORSCHE,Cayenne,2010,Jeep,1,3.6,160259,6.0,4,Left wheel,Silver,12,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
15681,503,TOYOTA,Prius C,2012,Hatchback,0,1.5,128000,4.0,4,Left wheel,Sky blue,8,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
55390,1017,HYUNDAI,Santa FE,2017,Jeep,1,2.0,100734,4.0,4,Left wheel,Black,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
12544,632,TOYOTA,Aqua,2012,Hatchback,0,1.5,141500,4.0,4,Right-hand drive,Black,8,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
17249,632,FORD,Escape Hybrid,2008,Jeep,0,2.3,147000,4.0,4,Left wheel,White,8,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
34889,891,HONDA,Civic,2016,Sedan,1,2.0,87768,4.0,4,Left wheel,Blue,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
862,1104,AUDI,Q7,2015,Jeep,1,3.0,264014,6.0,4,Left wheel,Black,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
14583,632,RENAULT,Megane 1.5CDI,2008,Sedan,0,1.5,132542,4.0,4,Left wheel,White,10,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False
38500,639,AUDI,Q5,2014,Jeep,1,2.0,87000,1.0,4,Left wheel,White,12,0,False,False,False,False,False,True,False,True,False,False,False,False,True,False
8781,632,MERCEDES-BENZ,C 180,2001,Coupe,0,2.0,260000,4.0,2,Left wheel,Blue,0,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False
87112,632,MERCEDES-BENZ,GLA 250,2019,Jeep,1,2.0,5323,4.0,4,Left wheel,Grey,0,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1411,629,NISSAN,Juke,2015,Jeep,1,1.6,87112,4.0,4,Left wheel,Black,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
23521,781,CHEVROLET,Cruze LT,2018,Sedan,0,1.4,22000,4.0,4,Left wheel,Red,6,1,False,False,False,False,False,True,False,False,True,False,True,False,False,False
16935,530,FORD,Fusion,2013,Sedan,0,1.6,83000,4.0,4,Left wheel,Silver,8,1,False,False,False,False,False,True,False,False,True,False,False,False,True,False
10349,632,TOYOTA,VOXY,2007,Minivan,1,2.4,170000,4.0,4,Right-hand drive,Black,6,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
7213,530,NISSAN,Juke,2013,Jeep,1,1.6,312118,4.0,4,Left wheel,Black,0,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
5331,632,MERCEDES-BENZ,A 160,2004,Sedan,0,1.6,130000,4.0,4,Left wheel,Black,6,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False
20526,640,HYUNDAI,Tucson,2013,Jeep,1,2.0,200279,4.0,4,Left wheel,Grey,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
9722,765,HYUNDAI,Sonata,2015,Sedan,1,2.0,719847,4.0,4,Left wheel,Orange,4,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False
34657,777,HYUNDAI,H1,2014,Minivan,1,2.5,154672,4.0,4,Left wheel,Silver,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
36564,1091,HYUNDAI,H1,2016,Minivan,1,2.5,110969,4.0,4,Left wheel,Black,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
5488,632,TOYOTA,Vitz,2001,Hatchback,0,1.5,210000,4.0,4,Right-hand drive,Sky blue,3,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False
30063,934,HYUNDAI,H1,2015,Universal,1,2.5,148105,4.0,4,Left wheel,Silver,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
15800,769,CHEVROLET,Captiva,2011,Jeep,1,2.2,255456,4.0,4,Left wheel,Silver,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
43952,1249,HYUNDAI,H1,2017,Universal,1,2.5,111643,4.0,4,Left wheel,Grey,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
53154,891,HYUNDAI,Santa FE,2016,Jeep,1,2.0,84506,4.0,4,Left wheel,Silver,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
14740,645,TOYOTA,Prius,2011,Hatchback,0,1.8,288000,4.0,4,Left wheel,White,8,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
42337,632,FORD,Mustang,2016,Cabriolet,1,2.3,75000,4.0,2,Left wheel,Silver,6,1,False,False,False,False,False,True,False,False,False,True,False,False,True,False
3763,1053,MERCEDES-BENZ,ML 350,2014,Jeep,1,3.5,94362,6.0,4,Left wheel,White,12,0,False,False,False,False,False,True,False,False,False,True,True,False,False,False
18189,632,TOYOTA,Prius,2012,Sedan,0,1.8,175000,4.0,4,Left wheel,Silver,8,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
862,2455,LEXUS,GX 470,2008,Jeep,1,4.7,263190,8.0,4,Left wheel,White,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
5645,1324,TOYOTA,Highlander,2010,Jeep,1,3.3,264877,6.0,4,Left wheel,White,12,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False
7527,830,TOYOTA,Yaris,2019,Sedan,1,1.5,27656,4.0,4,Left wheel,White,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
21953,1187,HONDA,Civic,2014,Sedan,0,1.4,16000,8.0,4,Right-hand drive,White,10,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False
8154,632,HONDA,Cr-v,1998,Jeep,0,2.0,0,4.0,4,Right-hand drive,White,2,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
21953,781,TOYOTA,Camry,2012,Sedan,0,2.5,195053,4.0,4,Left wheel,Black,0,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
19121,531,HYUNDAI,Elantra,2012,Sedan,1,1.6,121362,4.0,4,Left wheel,Black,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
36065,639,HYUNDAI,Santa FE,2014,Jeep,1,2.0,69191,4.0,4,Left wheel,White,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
8781,1111,HONDA,FIT,2012,Hatchback,1,1.3,83000,4.0,4,Right-hand drive,Green,12,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False
6247,760,CHEVROLET,Cruze,2010,Sedan,1,1.8,40772,4.0,4,Left wheel,Black,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
16289,642,CHEVROLET,Orlando,2012,Jeep,1,2.0,172000,4.0,4,Left wheel,Grey,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
77775,1604,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,1,5.5,433811,8.0,4,Left wheel,Black,10,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
2822,632,BMW,520 Vanos,1995,Sedan,1,2.0,350000,6.0,4,Left wheel,Blue,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False
549,781,SUBARU,Forester,2012,Jeep,1,2.5,148213,4.0,4,Left wheel,Blue,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
6981,1095,DAEWOO,Lacetti,2008,Sedan,1,2.0,103246,4.0,4,Left wheel,Black,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
27284,891,HYUNDAI,Elantra,2016,Sedan,0,2.0,105394,4.0,4,Left wheel,Black,12,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False
32929,632,BMW,428 Sport Line,2013,Coupe,1,2.0,160000,4.0,2,Left wheel,Black,12,1,False,False,False,False,False,True,False,False,False,True,True,False,False,False
18817,632,NISSAN,Patrol,1990,Jeep,0,2.8,333333,4.0,4,Left wheel,Black,0,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False
4234,632,HONDA,Civic,1997,Hatchback,1,1.4,0,4.0,2,Left wheel,Blue,6,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False
15053,632,MERCEDES-BENZ,E 320,2004,Sedan,1,3.2,214000,6.0,4,Left wheel,Grey,8,0,False,False,False,False,False,True,False,False,False,True,False,False,True,False
15458,966,HYUNDAI,Genesis,2009,Coupe,1,2.0,123346,4.0,4,Left wheel,Black,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
2901,473,CHEVROLET,Cruze,2014,Sedan,1,1.4,80827,4.0,4,Left wheel,Green,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
706,1138,PORSCHE,911,2013,Coupe,1,3.8,64464,6.0,2,Left wheel,Black,12,0,False,False,False,False,False,True,False,False,False,True,True,False,False,False
15681,1811,LEXUS,GX 460,2010,Jeep,1,4.6,275240,8.0,4,Left wheel,Silver,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
26657,632,MERCEDES-BENZ,Sprinter,2004,Microbus,0,2.2,300000,4.0,4,Left wheel,White,1,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False
10663,988,TOYOTA,Prius,2007,Hatchback,0,1.5,318400,4.0,4,Left wheel,Silver,6,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
12858,765,FORD,Focus SE,2015,Sedan,0,2.0,91200,4.0,4,Left wheel,Sky blue,10,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
1019,917,BMW,X5,2013,Jeep,1,3.0,137802,6.0,4,Left wheel,Black,12,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False
549,917,BMW,535,2013,Sedan,1,3.0,151586,6.0,4,Left wheel,White,12,0,False,False,True,False,False,False,False,False,False,True,True,False,False,False
12858,632,KIA,Picanto,2016,Hatchback,0,1.2,107000,4.0,4,Left wheel,Silver,2,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False
15000,632,BMW,328,2008,Sedan,1,3.0,210408,6.0,4,Left wheel,White,12,0,True,False,False,False,False,False,False,False,False,True,False,False,True,False
85553,1156,FORD,Explorer,2017,Jeep,1,2.3,100567,4.0,4,Left wheel,Black,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
44752,1091,HYUNDAI,H1,2016,Universal,1,2.5,86000,4.0,4,Left wheel,Grey,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
17158,687,HYUNDAI,Elantra,2010,Sedan,1,1.6,122740,4.0,4,Left wheel,White,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
12231,632,MITSUBISHI,Airtrek,2005,Jeep,0,2.4,144000,4.0,4,Right-hand drive,White,16,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False
11917,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,1,5.0,150000,12.0,4,Right-hand drive,White,12,0,False,False,False,False,False,True,False,False,False,True,False,False,True,False
1254,632,MITSUBISHI,Lancer,1997,Sedan,0,1.3,100000,4.0,4,Left wheel,Red,0,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False
25591,640,SSANGYONG,Korando,2013,Jeep,1,2.0,85704,4.0,4,Left wheel,Silver,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
14897,836,HYUNDAI,Santa FE,2010,Jeep,1,2.0,58962,4.0,4,Left wheel,White,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
23521,779,TOYOTA,Camry,2013,Sedan,1,2.5,90000,4.0,4,Left wheel,White,12,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False
3450,632,RENAULT,Clio,1995,Hatchback,0,1.2,50000,3.0,2,Left wheel,Green,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False
706,777,MAZDA,616,2014,Sedan,1,2.5,0,4.0,4,Left wheel,Red,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
1019,1537,TOYOTA,Highlander,2009,Sedan,1,3.3,318358,6.0,4,Left wheel,Black,12,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False
16935,765,FORD,Fusion,2015,Sedan,1,2.0,71454,4.0,4,Left wheel,Black,0,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
19444,781,TOYOTA,Camry,2012,Sedan,1,2.5,0,4.0,4,Left wheel,Black,6,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False
11604,639,HYUNDAI,Sonata,2014,Sedan,1,2.0,346470,4.0,4,Left wheel,Silver,4,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False
51965,891,HYUNDAI,Santa FE,2016,Jeep,1,2.0,59515,4.0,4,Left wheel,Blue,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
706,394,TOYOTA,Camry,2014,Sedan,1,2.5,115312,4.0,4,Left wheel,Grey,12,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
9408,632,MERCEDES-BENZ,C 220,1999,Sedan,0,2.2,111111,4.0,4,Left wheel,Silver,4,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False
13328,1347,HYUNDAI,H1,2008,Minivan,1,2.5,74444,4.0,4,Left wheel,Yellow,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
17876,632,NISSAN,Serena,2012,Minivan,0,2.0,143000,4.0,4,Right-hand drive,White,12,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False
549,2866,NISSAN,Maxima,2004,Sedan,1,3.5,299709,6.0,4,Left wheel,Grey,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
20071,632,TOYOTA,RAV 4,2008,Jeep,0,2.4,135000,4.0,4,Left wheel,Silver,8,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
22894,862,HYUNDAI,H1,2011,Minivan,1,2.5,124444,4.0,4,Left wheel,Yellow,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
2901,503,HONDA,Civic,2012,Sedan,1,1.5,146403,4.0,4,Left wheel,White,0,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
15681,632,MITSUBISHI,Pajero,1997,Jeep,0,2.4,142000,4.0,2,Left wheel,Blue,6,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
39829,1811,LEXUS,GX 460,2010,Jeep,1,4.6,155821,8.0,4,Left wheel,Black,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
706,1646,LEXUS,GX 460,2015,Jeep,1,4.6,102907,8.0,4,Left wheel,Black,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
18660,632,HYUNDAI,Sonata,2013,Sedan,1,2.4,130000,4.0,4,Left wheel,Black,6,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False
22580,1017,MERCEDES-BENZ,E 300,2017,Sedan,1,2.0,50930,4.0,4,Left wheel,Black,12,0,False,False,False,False,False,True,False,False,False,True,True,False,False,False
11604,639,HYUNDAI,Sonata,2014,Sedan,1,2.0,264872,4.0,4,Left wheel,Silver,4,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False
5488,751,GMC,TERRAIN,2013,Jeep,1,2.4,138958,4.0,4,Left wheel,Black,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
4300,632,MERCEDES-BENZ,208,1985,Universal,0,2.5,1111111,4.0,4,Left wheel,Black,1,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False
18817,609,TOYOTA,Camry,2018,Sedan,1,2.5,35058,4.0,4,Left wheel,White,12,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
21169,697,HONDA,Hr-v EX,2015,Jeep,0,1.8,33330,4.0,4,Left wheel,Grey,8,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
9095,632,FIAT,500,2011,Coupe,0,1.2,141000,4.0,2,Right-hand drive,Red,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
1568,639,VOLKSWAGEN,Jetta,2014,Sedan,1,2.0,82392,4.0,4,Left wheel,Silver,12,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
3136,632,SUBARU,Legacy,2005,Goods wagon,0,2.0,180000,6.0,4,Right-hand drive,Blue,6,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False
17876,585,HYUNDAI,Elantra sport limited,2013,Sedan,1,1.8,117920,4.0,4,Left wheel,Grey,12,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False
11290,891,HYUNDAI,Sonata,2016,Sedan,1,2.0,279787,4.0,4,Left wheel,Silver,4,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False
36065,1399,TOYOTA,Sienna,2010,Minivan,1,3.5,227200,6.0,4,Left wheel,White,16,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False
862,394,TOYOTA,Camry,2014,Sedan,1,2.5,130478,4.0,4,Left wheel,White,12,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
21395,781,HYUNDAI,H1,2012,Universal,1,2.5,166144,4.0,4,Left wheel,Silver,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
15681,891,HYUNDAI,Sonata,2016,Sedan,1,2.0,258706,4.0,4,Left wheel,Silver,4,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False
627,475,CHEVROLET,Volt,2012,Jeep,1,1.4,188419,4.0,4,Left wheel,Red,0,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
40070,690,TOYOTA,Aqua,2016,Hatchback,1,1.5,25807,4.0,4,Left wheel,Black,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
11917,632,MERCEDES-BENZ,A 170,2008,Hatchback,0,1.7,180000,4.0,4,Left wheel,Golden,8,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
72130,1079,LEXUS,NX 300,2018,Jeep,1,2.0,18918,4.0,4,Left wheel,Black,6,1,False,False,False,False,False,True,False,False,True,False,False,False,True,False
35927,640,SSANGYONG,REXTON,2013,Jeep,1,2.0,137267,4.0,4,Left wheel,Silver,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
21012,308,TOYOTA,Prius,2014,Sedan,0,1.8,160000,4.0,4,Left wheel,White,4,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False
21012,1823,TOYOTA,Tacoma,2018,Sedan,1,3.5,27358,6.0,4,Left wheel,Grey,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
13172,1361,KIA,Carnival grand,2009,Minivan,1,2.9,84176,4.0,4,Left wheel,White,6,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
15624,707,HYUNDAI,Genesis,2011,Coupe,1,2.0,107005,4.0,4,Left wheel,Grey,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
4547,632,OPEL,Vectra,1997,Sedan,0,1.6,15000,4.0,4,Left wheel,Beige,2,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False
5488,1273,INFINITI,QX60,2015,Jeep,1,3.5,124154,6.0,4,Left wheel,Black,12,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
20005,531,HYUNDAI,Elantra,2012,Sedan,1,1.6,104997,4.0,4,Left wheel,White,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
36110,924,VOLKSWAGEN,Passat,2017,Sedan,1,1.8,27728,6.0,4,Left wheel,Silver,8,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False
7840,632,MERCEDES-BENZ,E 240 E 240,1998,Sedan,1,2.4,777777,6.0,4,Left wheel,Blue,4,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False
1300,632,AUDI,50,2018,Coupe,1,0.5,4000,1.0,5,Right-hand drive,Blue,0,0,False,False,False,False,False,True,False,False,False,True,False,False,True,False
43880,891,HYUNDAI,Santa FE,2016,Jeep,1,2.0,113700,4.0,4,Left wheel,Silver,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
29479,584,MERCEDES-BENZ,C 250,2014,Sedan,1,1.8,69000,4.0,4,Left wheel,Grey,8,1,False,False,False,False,False,True,False,False,False,True,False,False,True,False
17249,632,TOYOTA,Camry,2011,Sedan,1,2.5,152000,4.0,4,Left wheel,White,12,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
9408,632,TOYOTA,Vitz funkargo,2003,Universal,0,1.5,181926,4.0,4,Right-hand drive,Silver,2,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
44213,891,HYUNDAI,Santa FE,2016,Jeep,1,2.0,50255,4.0,4,Left wheel,Red,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
